name,phone,category,zip_code,area,city
"Haim's Plumbing",718-555-1234,Plumber,11211,Williamsburg,Brooklyn
"Kosher Bite Restaurant",718-555-5678,Restaurant,11219,Borough Park,Brooklyn
"Goldstein Electric",718-555-9999,Electrician,11219,Borough Park,Brooklyn
"Monsey Car Service",845-555-1111,Car Service,10952,Monsey,Monsey
"Lakewood Locksmith",732-555-2222,Locksmith,08701,Lakewood,Lakewood
"Five Towns Dental",516-555-3333,Dentist,11516,Five Towns,Cedarhurst
"Crown Heights Catering",718-555-4444,Catering,11213,Crown Heights,Brooklyn
"Flatbush Pharmacy",718-555-6666,Pharmacy,11230,Flatbush,Brooklyn
"Teaneck Tutoring",201-555-7777,Tutor,07666,Teaneck,Teaneck
"Passaic Pest Control",973-555-8888,Exterminator,07055,Passaic,Passaic
